Policy_Number,First_Name,Last_Name,Email,Start_Date,End_Date,Policy_Status,Payment_Amount,Is_Payment_Paid
POL01212,John,Smith,john.smith@email.com,2025-09-06,2026-09-06,Active,600.0,TRUE
POL02309,Alice,Tan,alice.tan@email.com,2025-12-23,2026-12-23,Active,760.5,TRUE
POL03254,Michael,Brown,michael.brown@email.com,2023-01-06,2024-01-06,Cancelled,500.2,TRUE
POL04543,Sarah,ohnson,sarah.johnson@email.com,2024-03-10,2025-03-10,Active,900.9,TRUE
POL05352,David,Lee,david.lee@email.com,2025-05-01,2026-05-01,Active,600.3,TRUE
POL06633,Emily,Chen,emily.chen@email.com,2025-07-12,2026-07-12,Active,470.1,TRUE
POL07533,Robert,Wilson,robert.wilson@email.com,2023-12-01,2024-12-01,Cancelled,740.2,FALSE
POL08224,Linda,Martinez,linda.martinez@email.com,2025-04-01,2026-04-01,Active,700.3,FALSE
POL09243,Daniel,Kim,daniel.kim@email.com,2025-08-15,2026-08-15,Active,830.5,TRUE
POL10234,Olivia,White,olivia.white@email.com,2023-01-01,2024-01-01,Cancelled,500.5,TRUE
POL11223,James,Anderson,james.anderson@email.com,2025-09-06,2026-09-06,Active,1000.4,TRUE
POL12232,Emma,Thompson,emma.thompson@email.com,2026-01-10,2027-01-10,Active,970.3,FALSE
POL13152,William,Harris,william.harris@email.com,2025-06-15,2026-06-15,Active,720.2,TRUE
POL14976,Sophia,Clark,sophia.clark@email.com,2025-11-01,2026-11-01,Active,630.1,FALSE
POL15685,Christopher,Lewis,christopher.lewis@email.com,2024-12-01,2025-12-01,Expired,520.2,FALSE
POL16964,Grace,Walker,grace.walker@email.com,2023-05-01,2024-05-01,Expired,930.2,FALSE
POL17463,Henry,Hall,henry.hall@email.com,2025-03-20,2026-03-20,Active,720.4,FALSE
POL18573,Isabella,Young,isabella.young@email.com,2025-02-05,2026-02-05,Active,710.3,TRUE
POL19452,Matthew,King,matthew.king@email.com,2025-03-25,2026-03-25,Active,730.3,TRUE
POL20453,Chloe,Scott,chloe.scott@email.com,2025-04-15,2026-04-15,Active,1010.5,FALSE
POL21532,Andrew,Green,andrew.green@email.com,2025-05-20,2026-05-20,Cancelled,560.3,TRUE
POL22453,Natalie,Adams,natalie.adams@email.com,2024-06-30,2025-06-30,Cancelled,670.3,FALSE
POL23532,Joshua,Baker,joshua.baker@email.com,2025-07-10,2026-07-10,Active,910.7,FALSE
POL24590,Mia,Perez,mia.perez@email.com,2025-08-01,2026-08-01,Active,820.6,FALSE
POL25557,Ava,Cooper,ava.cooper@email.com,2025-10-01,2026-10-01,Cancelled,740.6,TRUE
POL26646,Noah,Turner,noah.turner@email.com,2025-11-15,2026-11-15,Active,700.8,TRUE
POL27546,Lily,Parker,lily.parker@email.com,2025-12-20,2026-12-20,Active,920.5,TRUE
